date,油气开采及服务,煤炭开采加工,风电设备,电力,化学原料,燃气,农化制品,种植业与林业,银行,电网设备,非金属材料,厨卫电器,石油加工贸易,光伏设备,公路铁路运输,电池,港口航运,建筑装饰,养殖业,农产品加工,旅游及酒店,橡胶制品,环保设备,环境治理,其他电源设备,光学光电子,贵金属,物流,医疗器械,化学制药,化学纤维,钢铁,能源金属,综合,中药,黑色家电,塑料制品,生物制品,多元金融,教育,贸易,饮料制造,通信设备,医药商业,化学制品,造纸,服装家纺,互联网电商,医疗服务,纺织制造,轨交设备,汽车整车,小家电,计算机设备,通信服务,房地产,家居用品,证券,元件,汽车服务及其他,零售,其他社会服务,保险,包装印刷,食品加工制造,专用设备,IT服务,通用设备,美容护理,工业金属,白色家电,白酒,建筑材料,电子化学品,软件开发,电机,消费电子,自动化设备,工程机械,汽车零部件,小金属,其他电子,游戏,军工电子,文化传媒,军工装备,半导体,金属新材料,机场航运,影视院线
2026-03-14 06:55:19.151923,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-14 07:55:06.782243,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-14 08:29:09.011070,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-14 09:12:34.823284,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-14 09:24:46.942030,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-14 09:54:18.431095,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-15 06:20:07.626302,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-15 12:35:12.386174,-3.43,21.88,-2.54,57.5,7.69,4.95,-7.64,14.14,-2.21,-35.72,-1.25,0.8,0.49,17.93,5.15,-20.51,5.77,6.47,12.08,2.81,3.03,-3.08,3.46,3.33,-3.64,14.63,22.06,6.2,6.35,-3.8,-1.31,33.52,11.19,-5.14,-3.18,5.58,-8.53,-0.88,10.77,5.65,0.18,-3.38,-101.5,-0.08,0.59,-4.03,3.72,0.97,3.82,0.72,-7.26,-4.11,-3.95,6.01,33.74,-4.04,1.03,-10.99,-56.66,0.54,-4.42,2.2,-9.74,1.65,0.77,-11.58,54.61,-7.27,0.38,52.46,-21.37,-5.44,-18.68,-20.71,10.53,-3.34,-61.16,-10.33,-8.29,-33.93,78.67,-5.46,10.67,-29.15,2.85,-14.46,-74.79,11.38,-3.81,-12.64
2026-03-16 12:50:16.137289,-8.83,17.07,-11.57,-12.53,0.78,1.73,-9.11,3.24,22.62,-29.52,1.02,-0.59,-1.86,-9.45,2.85,-30.61,1.43,-25.63,-5.38,-1.47,-6.89,-0.88,-0.33,-19.73,18.45,-21.0,-6.16,-9.23,-15.25,-28.4,-1.69,4.94,-10.27,8.67,-11.38,-5.9,-10.14,-12.64,-5.25,-6.98,-1.12,-4.43,83.41,-5.23,-10.55,-1.47,-6.39,-4.19,-15.55,-3.53,-3.12,35.86,-4.43,-22.38,-35.92,-22.13,-6.88,-44.76,-3.0,-3.88,-21.56,-3.26,-6.48,-10.95,-8.91,-4.3,-70.85,-44.2,-3.44,8.75,-23.38,-13.09,-4.23,-4.65,-67.04,-13.17,-33.59,-14.18,-4.75,-62.44,-38.72,-15.01,-36.06,9.03,-48.66,27.51,-115.43,-3.45,-10.06,-18.94
2026-03-18 06:03:15.893055,-17.77,-2.15,5.31,16.83,-1.56,-4.1,4.19,18.22,-43.61,37.64,0.9,-0.63,8.93,-6.19,-4.92,-23.15,27.21,-11.64,4.58,1.52,-1.37,-1.23,0.36,2.82,14.77,-4.81,-5.38,-8.87,-6.82,-3.53,0.85,-2.06,-0.06,11.52,-8.35,-0.6,-5.64,-6.0,-7.66,-0.12,-0.49,-3.42,-23.76,-2.52,-10.17,-1.27,-0.93,-0.38,-6.34,-0.72,-2.73,-8.43,-1.36,-8.81,-10.08,-7.68,0.86,-52.97,-8.22,-0.96,-11.04,0.8,-11.86,-3.19,-4.79,-12.12,-8.2,-14.01,-0.56,-8.8,-4.47,-18.71,-5.49,-6.67,-21.22,-0.33,-22.51,2.25,-0.58,-11.46,11.84,0.19,-6.53,4.51,-8.13,44.64,-51.35,-0.29,-5.71,-3.51
2026-03-18 12:41:42.939007,-17.77,-2.15,5.31,16.83,-1.56,-4.1,4.19,18.22,-43.61,37.64,0.9,-0.63,8.93,-6.19,-4.92,-23.15,27.21,-11.64,4.58,1.52,-1.37,-1.23,0.36,2.82,14.77,-4.81,-5.38,-8.87,-6.82,-3.53,0.85,-2.06,-0.06,11.52,-8.35,-0.6,-5.64,-6.0,-7.66,-0.12,-0.49,-3.42,-23.76,-2.52,-10.17,-1.27,-0.93,-0.38,-6.34,-0.72,-2.73,-8.43,-1.36,-8.81,-10.08,-7.68,0.86,-52.97,-8.22,-0.96,-11.04,0.8,-11.86,-3.19,-4.79,-12.12,-8.2,-14.01,-0.56,-8.8,-4.47,-18.71,-5.49,-6.67,-21.22,-0.33,-22.51,2.25,-0.58,-11.46,11.84,0.19,-6.53,4.51,-8.13,44.64,-51.35,-0.29,-5.71,-3.51
2026-03-19 12:35:52.897638,-16.06,-6.93,7.94,16.61,-2.28,-6.96,-21.36,-25.47,37.45,24.62,-2.93,0.62,-6.21,-22.47,-0.38,-1.52,3.71,7.59,-8.5,-10.43,-1.06,-1.2,0.04,-3.09,22.31,11.23,-27.16,-3.68,-3.5,2.27,-0.51,-11.54,-4.02,16.58,-4.06,-3.01,-2.13,-3.2,-3.08,2.32,0.62,-2.26,38.13,-0.96,-17.91,-0.38,-5.86,-0.84,-2.07,-1.32,2.27,-13.69,-1.12,1.17,-6.95,-3.32,-3.24,-27.04,-21.93,-0.19,-1.96,-0.96,-3.97,-1.21,-3.55,0.85,-19.97,-0.15,-1.9,-49.78,-6.92,-6.92,-5.92,-9.73,-21.35,-0.3,7.78,7.38,-1.73,-15.08,-50.69,-2.96,-0.55,-23.13,-3.54,-47.82,33.14,-3.34,-7.25,-6.78
2026-03-20 12:32:06.245596,-12.42,-4.78,9.16,15.19,22.75,-7.61,30.95,6.17,-1.83,22.02,2.58,-0.18,-6.42,20.74,2.9,-0.06,-5.8,6.58,25.77,12.19,4.97,-0.22,1.48,5.96,11.48,-27.56,-3.09,5.78,6.63,40.36,5.14,-6.35,-11.25,-4.71,8.56,-2.83,0.15,9.74,8.05,0.53,2.25,9.76,-53.48,2.56,28.18,1.84,5.58,2.64,5.59,1.72,1.19,-3.61,0.2,-1.69,-3.04,8.31,0.82,38.33,-13.61,2.82,3.68,1.42,3.3,-0.15,10.47,-9.6,8.54,-10.94,3.01,-49.9,5.72,6.22,-4.18,-12.56,28.91,0.95,4.65,9.29,4.39,25.93,-16.83,24.54,-1.38,-3.29,-6.27,7.98,-18.03,-3.61,4.96,1.18
2026-03-21 12:23:35.043637,-12.42,-4.78,9.16,15.19,22.75,-7.61,30.95,6.17,-1.83,22.02,2.58,-0.18,-6.42,20.74,2.9,-0.06,-5.8,6.58,25.77,12.19,4.97,-0.22,1.48,5.96,11.48,-27.56,-3.09,5.78,6.63,40.36,5.14,-6.35,-11.25,-4.71,8.56,-2.83,0.15,9.74,8.05,0.53,2.25,9.76,-53.48,2.56,28.18,1.84,5.58,2.64,5.59,1.72,1.19,-3.61,0.2,-1.69,-3.04,8.31,0.82,38.33,-13.61,2.82,3.68,1.42,3.3,-0.15,10.47,-9.6,8.54,-10.94,3.01,-49.9,5.72,6.22,-4.18,-12.56,28.91,0.95,4.65,9.29,4.39,25.93,-16.83,24.54,-1.38,-3.29,-6.27,7.98,-18.03,-3.61,4.96,1.18
2026-03-22 12:24:14.194987,-12.42,-4.78,9.16,15.19,22.75,-7.61,30.95,6.17,-1.83,22.02,2.58,-0.18,-6.42,20.74,2.9,-0.06,-5.8,6.58,25.77,12.19,4.97,-0.22,1.48,5.96,11.48,-27.56,-3.09,5.78,6.63,40.36,5.14,-6.35,-11.25,-4.71,8.56,-2.83,0.15,9.74,8.05,0.53,2.25,9.76,-53.48,2.56,28.18,1.84,5.58,2.64,5.59,1.72,1.19,-3.61,0.2,-1.69,-3.04,8.31,0.82,38.33,-13.61,2.82,3.68,1.42,3.3,-0.15,10.47,-9.6,8.54,-10.94,3.01,-49.9,5.72,6.22,-4.18,-12.56,28.91,0.95,4.65,9.29,4.39,25.93,-16.83,24.54,-1.38,-3.29,-6.27,7.98,-18.03,-3.61,4.96,1.18
